Date	Value
20150222	0
20150223	0.6
20150224	0
20150225	1.6
20150226	0
20150227	0
20150228	0
20150301	0
20150302	0
20150303	2.4
20150304	0
20150305	0.2
20150306	2
20150307	0
20150308	0
20150309	0
20150310	0
20150311	0
20150312	0
20150313	0
20150314	0
20150315	0.4
20150316	0
20150317	0
20150318	0
20150319	1
20150320	0
20150321	0
20150322	0
20150323	0
20150324	0
20150325	0
20150326	0
20150327	0
20150328	0
20150329	0
20150330	0
20150331	0
20150401	0
20150402	0
20150403	0
20150404	1.4
20150405	1.2
20150406	2.4
20150407	0
20150408	0
20150409	0
20150410	0
20150411	0
20150412	0
20150413	0
20150414	0
20150415	0
20150416	0
20150417	0
20150418	0
20150419	0
20150420	0
20150421	0
20150422	0
20150423	0
20150424	0
20150425	0
20150426	0
20150427	0
20150428	0
20150429	15
20150430	7.4
20150501	0.6
20150502	1.2
20150503	0.8
20150504	0
20150505	0
20150506	0
20150507	0
20150508	0
20150509	0
20150510	0
20150511	0
20150512	0
20150513	0
20150514	0
20150515	0
20150516	0
20150517	7.2
20150518	0
20150519	0
20150520	0
20150521	0
20150522	0.2
20150523	0
20150524	0
20150525	0
20150526	0
20150527	0
20150528	0
20150529	0
20150530	0
20150531	0
20150601	0
20150602	8.8
20150603	6.2
20150604	0.4
20150605	5.2
20150606	38.2
20150607	30.4
20150608	16.4
20150609	30.6
20150610	15.4
20150611	38
20150612	11.8
20150613	18.6
20150614	1.2
20150615	0
20150616	0
20150617	0.8
20150618	4
20150619	0.2
20150620	0.2
20150621	0
20150622	0
20150623	0.2
20150624	1.2
20150625	1.2
20150626	0.2
20150627	0
20150628	2
20150629	5.8
